PROGRAMACIÓN
Lucía Díaz,4.9,4.6,3.9,9.2,3.4,7.2,5.9,6.6,8.5,5.5
David Romero,2.6,1.8,7.7,7.2,6.4,7.5,6.0,6.5,7.2,9.6
Alba Díaz,1.6,4.7,9.6,6.1,5.7,2.9,1.9,6.3,2.5,7.5
Hugo Álvarez,1.1,5.9,6.4,7.2,7.2,7.9,9.9,5.4,4.2,7.6
Álvaro Gómez,5.1,1.1,7.4,3.9,8.5,4.4,1.0,5.4,2.2,7.9
Alejandro González,1.8,2.9,9.9,3.8,4.4,4.6,7.2,4.2,7.0,5.9
Valeria Sánchez,7.5,6.3,7.9,3.1,5.1,6.8,10.0,8.9,2.4,4.3
Lucía Gutiérrez,6.3,6.8,7.1,6.7,2.7,6.4,6.0,1.2,9.5,1.6
Álvaro Gómez,1.6,4.6,8.6,5.0,5.7,1.2,7.3,5.0,7.8,10.0
Lucía Martínez,8.2,5.6,4.6,3.8,8.9,4.2,1.7,3.2,4.7,6.3
Adrián Jiménez,1.4,3.2,6.0,5.0,3.6,4.3,6.0,9.8,7.1,7.6
Lucía Gómez,2.3,7.8,5.1,3.1,2.6,3.0,3.4,6.6,1.2,2.0
Alejandro Pérez,6.0,9.8,9.3,2.9,5.2,3.9,7.5,3.9,8.5,4.0
Daniela Pérez,10.0,8.9,7.6,6.1,7.4,1.3,3.1,1.2,7.8,8.5
Valeria Gutiérrez,3.4,5.2,6.5,1.3,9.7,7.5,2.1,4.5,1.4,5.5
Emma Álvarez,2.0,1.2,4.4,4.6,9.9,9.6,6.7,6.7,4.4,9.4
Hugo Álvarez,3.8,1.2,6.9,6.4,4.8,6.7,9.8,8.9,6.0,1.8
Daniel Ruiz,8.3,5.1,6.9,8.7,2.9,7.0,9.9,7.1,4.2,7.3
Emma Martínez,4.2,5.6,7.5,3.6,4.7,2.7,2.9,2.8,8.4,4.7
Valeria López,6.3,7.8,9.2,8.0,2.6,1.6,9.3,5.9,1.1,6.3
